Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Vial,Replicate,Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading,Wing_area,Wing_shape,Wing_vein,Asymmetry_wing_area,Asymmetry_wing_shape,Asymmetry_wing_vein,Asymmetry_l2,Asymmetry_l3p,Asymmetry_l3d,Asymmetry_lpd,Asymmetry_l3,Asymmetry_w1,Asymmetry_w2,Asymmetry_w3
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,1,male,1.090,1.714,0.551,1.542,2.093,2.092,0.972,1.301,1.067,1.920,1.016,2.154,2.799,0.009,0.048,0.099,0.027,0.018,0.004,0.014,0.014,0.015,0.017,0.02
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,2,female,1.141,1.8,0.603,1.574,2.177,2.176,0.993,1.344,1.11,1.907,1.08,2.191,2.609,0.013,0.036,0.008,0.033,0.01,0.021,0.031,0.031,0.002,0.026,0.027
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,2,male,1.108,1.832,0.623,1.571,2.193,2.193,0.95,1.299,1.093,1.978,1.041,2.308,2.524,0.036,0.05,0.099,0.06,0.035,0.027,0.061,0.061,0.006,0.036,0.002
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,3,female,1.185,1.878,0.615,1.625,2.24,2.239,1.006,1.362,1.156,1.889,1.126,2.225,2.642,0.028,0.006,0.051,0.008,0.002,0.026,0.024,0.025,0.014,0.015,0.021
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,3,male,1.091,1.721,0.581,1.465,2.046,2.045,0.941,1.268,1.058,1.874,0.962,2.174,2.525,0.042,0.003,0.114,0.028,0.031,0.012,0.043,0.043,0.021,0.035,0.008
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,1,female,1.218,1.871,0.601,1.579,2.181,2.18,0.974,1.318,1.147,1.790,1.061,2.24,2.625,0.037,0.054,0.036,0.016,0.003,0.014,0.011,0.012,0.029,0.019,0.029
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,1,male,1.159,1.78,0.586,1.563,2.149,2.147,0.969,1.304,1.097,1.853,1.04,2.217,2.667,0.033,0.103,0.035,0.024,0.01,0.006,0.016,0.016,0.038,0.048,0.001
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,2,female,1.149,1.922,0.595,1.683,2.277,2.276,0.996,1.344,1.172,1.981,1.133,2.285,2.831,0.006,0.044,0.108,0.043,0.021,0.005,0.016,0.016,0.012,0.003,0.011
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,2,male,1.140,1.72,0.565,1.511,2.076,2.075,0.94,1.275,1.031,1.821,0.975,2.208,2.678,0.035,0.09,0.052,0.003,0.009,0.005,0.004,0.005,0.036,0.033,0.035
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,3,female,1.186,1.86,0.624,1.594,2.217,2.217,1.0,1.351,1.14,1.869,1.108,2.218,2.556,0.035,0.031,0.004,0.028,0.005,0.015,0.02,0.02,0.023,0.034,0.014
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,3,male,1.110,1.685,0.597,1.452,2.05,2.048,0.93,1.214,1.069,1.846,0.952,2.204,2.43,0.027,0.047,0.063,0.016,0.013,0.006,0.008,0.007,0.023,0.008,0.027
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,1,female,1.237,1.962,0.678,1.63,2.308,2.306,1.011,1.403,1.156,1.865,1.165,2.282,2.407,0.003,0.029,0.098,0.04,0.025,0.006,0.019,0.018,0.005,0.002,0.007
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,1,male,1.129,1.672,0.555,1.457,2.011,2.009,0.923,1.257,1.015,1.780,0.927,2.178,2.628,0.02,0.034,0.04,0.025,0.007,0.004,0.003,0.006,0.017,0.013,0.015
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,2,female,1.279,1.855,0.617,1.654,2.271,2.271,1.015,1.384,1.124,1.775,1.152,2.238,2.678,0.047,0.077,0.08,0.031,0.015,0.009,0.006,0.007,0.038,0.019,0.036
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,2,male,1.128,1.771,0.601,1.546,2.148,2.146,1.0,1.308,1.134,1.902,1.073,2.146,2.569,0.058,0.039,0.045,0.016,0.003,0.035,0.039,0.038,0.036,0.029,0.032
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,3,female,1.175,1.769,0.574,1.582,2.157,2.155,0.988,1.331,1.091,1.833,1.065,2.18,2.756,0.026,0.023,0.027,0.033,0.006,0.032,0.039,0.038,0.007,0.032,0.001
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,3,male,1.114,1.781,0.595,1.527,2.121,2.121,0.982,1.329,1.093,1.904,1.041,2.16,2.568,0.03,0.03,0.073,0.05,0.025,0.021,0.046,0.045,0.007,0.005,0.035
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,1,female,1.144,1.838,0.601,1.596,2.197,2.196,0.974,1.327,1.106,1.919,1.07,2.253,2.657,0.024,0.028,0.047,0.021,0.005,0.015,0.009,0.011,0.017,0.012,0.02
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,1,male,1.147,1.749,0.617,1.519,2.137,2.136,0.98,1.302,1.101,1.863,1.047,2.18,2.461,0.008,0.028,0.11,0.026,0.021,0.016,0.005,0.006,0.01,0.014,0.018
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,2,female,1.189,1.859,0.631,1.595,2.226,2.224,1.017,1.388,1.132,1.870,1.131,2.186,2.527,0.008,0.018,0.077,0.014,0.014,0.013,0.001,0.001,0.008,0.013,0.003
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,2,male,1.097,1.718,0.605,1.434,2.039,2.039,0.951,1.296,1.03,1.859,0.969,2.144,2.369,0.015,0.039,0.017,0.002,0.004,0.001,0.003,0.003,0.016,0.005,0.034
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,3,female,1.188,1.901,0.623,1.627,2.25,2.25,1.042,1.41,1.168,1.893,1.172,2.159,2.612,0.008,0.039,0.045,0.035,0.01630017761989343,0.028,0.028,0.028,0.006,0.003,0.005
